,,,,,,
,,,,,,
OCN,ncell =,122880,,384,320,
,size   = ,nvars * nt * nlev *ncell * 4 bytes,,,,TOTAL
Freq,monthly,monthly,monthly,daily,annual,
,,sp_light_lim_surf,,,,
,,sp_loss_doc_zint_100m,,,,
,,sp_loss_poc_zint_100m,,,,
,,sp_loss_zint_100m,,,,
,,sp_N_lim_Cweight_avg_100m,,,,
,,sp_P_lim_Cweight_avg_100m,,,,
,,SSH,,,,
,,SSH2,,,,
,,SSS2,,,,
,,STF_CFC11,,,,
,,STF_CFC12,,,,
,,STF_O2,,,,
,,SU,,,,
,,SV,,,,
,,TAUX,,,,
,,TAUX2,,,,
,,TAUY,,,,
,,TAUY2,,,,
,,TBLT,,,,
,,tend_zint_100m_ALK,,,,
,,tend_zint_100m_DIC,,,,
,,tend_zint_100m_DOC,,,,
,,tend_zint_100m_DOCr,,,,
,,tend_zint_100m_Fe,,,,
,,tend_zint_100m_NH4,,,,
,,tend_zint_100m_NO3,,,,
,,tend_zint_100m_O2,,,,
,,tend_zint_100m_PO4,,,,
,,tend_zint_100m_SiO3,,,,
,,TFW_S,,,,
,,TFW_T,,,,
,,TLT,,,,
,,TMXL,,,,
,,TMXL_DR,,,,
,,XBLT,,,,
,,XMXL,,,,
,,XMXL_DR,,,,
,,zoo_loss_doc_zint_100m,,,,
,,zoo_loss_poc_zint_100m,,,,
,,zoo_loss_zint_100m,,,,
,,zsatarag,,,,
,,zsatcalc,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,spC,,,
,,,spCaCO3,,,
,,,spChl,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,spP,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,spP,,,
,,,,,,
,,,,,,
,,,sp_Qp,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,zooC,,,
